lat,lon,mua_vu_encoded,nam_offset,gan_bien,tổng số giờ nắng,tổng lượng mưa,độ ẩm trung bình,nhiệt độ trung bình,dien_tich,dien_tich_lag1_ss,dien_tich_lag2_ss,dien_tich_roll2_ss,dien_tich_cross,nang_suat_lag1_ss,nang_suat_lag2_ss,nang_suat_roll2_ss,nang_suat_cross,nang_suat
9.2833,105.7167,0,26,1,1557.99,281.2,78.16,26.08,48.79,47.5,48.3,47.9,100.5,7.667368421052632,7.455486542443065,7.561427481747849,5.824875621890547,7.727813076450093
9.2833,105.7167,0,27,1,1506.45,607.1,78.59,26.57,48.2,48.79,47.5,48.144999999999996,102.831,7.727813076450093,7.667368421052632,7.697590748751362,5.92732736237127,7.570954356846473
9.2833,105.7167,0,28,1,1468.53,469.0,79.57,25.97,43.25,48.2,48.79,48.495000000000005,99.2,7.570954356846473,7.727813076450093,7.649383716648282,5.855947580645161,7.7616184971098265
9.2833,105.7167,0,29,1,1603.89,272.9,76.38,27.29,45.03,43.25,48.2,45.725,101.85168,7.7616184971098265,7.570954356846473,7.66628642697815,6.2028570368206,7.758827448367755
9.2833,105.7167,1,0,1,2138.39,1612.8,82.46,27.32,18.5,,,,1.1,,,,2.727272727272727,3.3675675675675674
9.2833,105.7167,1,1,1,2121.24,1755.4,83.88,26.99,29.3,18.5,,18.5,1.1,3.3675675675675674,,3.3675675675675674,2.727272727272727,2.9317406143344713
9.2833,105.7167,1,2,1,2195.71,1365.0,82.68,27.19,30.3,29.3,18.5,23.9,7.1,2.9317406143344713,3.3675675675675674,3.149654090951019,2.295774647887324,4.013201320132013
9.2833,105.7167,1,3,1,2058.35,1680.2,81.82,27.75,53.2,30.3,29.3,29.8,20.6,4.013201320132013,2.9317406143344713,3.4724709672332423,2.4854368932038833,4.157894736842104
9.2833,105.7167,1,4,1,2127.97,1920.1,84.54,26.59,70.8,53.2,30.3,41.75,28.7,4.157894736842104,4.013201320132013,4.085548028487059,4.411149825783972,4.036723163841808
9.2833,105.7167,1,5,1,2056.51,1565.9,84.29,26.77,84.6,70.8,53.2,62.0,34.4,4.036723163841808,4.157894736842104,4.097308950341956,4.203488372093023,4.293144208037825
9.2833,105.7167,1,6,1,2070.35,1759.2,84.24,27.0,72.9,84.6,70.8,77.69999999999999,25.7,4.293144208037825,4.036723163841808,4.1649336859398165,4.062256809338522,4.270233196159122
9.2833,105.7167,1,7,1,2211.02,1310.7,81.32,27.47,72.7,72.9,84.6,78.75,19.0,4.270233196159122,4.293144208037825,4.2816887020984735,4.421052631578948,4.434662998624484
9.2833,105.7167,1,8,1,2044.75,1833.2,83.36,27.06,58.3,72.7,72.9,72.80000000000001,19.2,4.434662998624484,4.270233196159122,4.352448097391803,4.09375,4.449399656946826
9.2833,105.7167,1,9,1,2138.56,1494.3,82.39,27.16,56.6,58.3,72.7,65.5,11.3,4.449399656946826,4.434662998624484,4.442031327785655,5.442477876106194,4.628975265017668
9.2833,105.7167,1,10,1,2159.71,1388.3,82.26,27.35,58.6,56.6,58.3,57.45,18.6,4.628975265017668,4.449399656946826,4.539187460982247,5.086021505376343,4.733788395904436
9.2833,105.7167,1,11,1,2035.91,1832.3,84.2,26.88,50.8,58.6,56.6,57.6,28.0,4.733788395904436,4.628975265017668,4.681381830461052,5.607142857142857,4.468503937007874
9.2833,105.7167,1,12,1,1937.24,1776.9,84.03,27.02,53.3,50.8,58.6,54.7,33.9,4.468503937007874,4.733788395904436,4.6011461664561555,5.218289085545723,4.219512195121951
9.2833,105.7167,1,13,1,2037.1,1720.1,84.18,26.81,49.1,53.3,50.8,52.05,40.0,4.219512195121951,4.468503937007874,4.344008066064912,5.8175,4.778004073319756
9.2833,105.7167,1,14,1,2059.33,1583.6,83.89,27.17,55.8,49.1,53.3,51.2,42.2,4.778004073319756,4.219512195121951,4.498758134220854,5.831753554502369,4.6164874551971335
9.2833,105.7167,1,15,1,2083.84,1654.1,82.33,27.64,56.9,55.8,49.1,52.45,44.6,4.6164874551971335,4.778004073319756,4.697245764258445,5.641255605381166,5.04920913884007
9.2833,105.7167,1,16,1,2141.83,1485.3,83.71,26.98,55.8,56.9,55.8,56.349999999999994,45.8,5.04920913884007,4.6164874551971335,4.832848297018602,6.665938864628822,5.396057347670252
9.2833,105.7167,1,17,1,2102.16,1628.3,83.89,26.99,55.8,55.8,56.9,56.349999999999994,54.6,5.396057347670252,5.04920913884007,5.222633243255161,6.338827838827839,5.365591397849462
9.2833,105.7167,1,18,1,2016.43,1678.1,83.92,27.11,56.4,55.8,55.8,55.8,49.3,5.365591397849462,5.396057347670252,5.380824372759857,6.596348884381339,5.4787234042553195
9.2833,105.7167,1,19,1,2148.02,1529.9,82.75,27.43,56.0,56.4,55.8,56.099999999999994,46.2,5.4787234042553195,5.365591397849462,5.422157401052391,7.244588744588744,5.5375000000000005
9.2833,105.7167,1,20,1,2228.93,1376.2,80.9,27.7,101.8,56.0,56.4,56.2,46.6,5.5375000000000005,5.4787234042553195,5.50811170212766,7.278969957081545,5.744597249508841
9.2833,105.7167,1,21,1,2002.51,1558.8,82.27,27.67,97.8,101.8,56.0,78.89999999999999,45.6,5.744597249508841,5.5375000000000005,5.64104862475442,6.765350877192982,5.763803680981596
9.2833,105.7167,1,22,1,1888.54,2260.4,84.75,27.09,103.0,97.8,101.8,99.79999999999998,46.3,5.763803680981596,5.744597249508841,5.754200465245218,7.198704103671707,5.656310679611651
9.2833,105.7167,1,23,1,1970.94,1575.9,83.43,27.22,102.9,103.0,97.8,100.39999999999999,48.4,5.656310679611651,5.763803680981596,5.710057180296623,7.367768595041323,5.798833819241983
9.2833,105.7167,1,24,1,2057.36,1521.2,83.31,27.55,103.1,102.9,103.0,102.94999999999999,48.3,5.798833819241983,5.656310679611651,5.727572249426817,7.455486542443065,5.873908826382154
9.2833,105.7167,1,25,1,1933.78,2009.6,83.23,27.57,100.5,103.1,102.9,103.0,47.5,5.873908826382154,5.798833819241983,5.836371322812068,7.667368421052632,5.824875621890547
9.2833,105.7167,1,26,1,1968.1,1789.0,84.51,27.22,102.831,100.5,103.1,101.79999999999998,48.79,5.824875621890547,5.873908826382154,5.84939222413635,7.727813076450093,5.92732736237127
9.2833,105.7167,1,27,1,1899.06,1990.0,84.38,26.87,99.2,102.831,100.5,101.6655,48.2,5.92732736237127,5.824875621890547,5.876101492130909,7.570954356846473,5.855947580645161
